Film,Distributor,Modern,Rank,Money1,Money2,Money3,Year,x,y,isDisney,url
Tootsie,Columbia Pictures,Sony Pictures,79,"$520,575,845 ","$177,200,000 ",56903900,1982,18,9,No,https://image.tmdb.org/t/p/w500/x9cBsqf64j8e5a8PwThT3I6sHFK.jpg
Beauty and the Beast,Walt Disney Studios,Walt Disney Studios,80,"$520,064,453 ","$504,481,165 ",56848000,2017,20,9,Yes,https://image.tmdb.org/t/p/w500/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg
Smokey and the Bandit,Universal Pictures,Universal Pictures,81,"$519,926,313 ","$126,737,428 ",56832900,1977,2,6,No,https://image.tmdb.org/t/p/w500/pNm0neie5Q6I7AsIsGnqxEVk44f.jpg
Finding Dory,Walt Disney Studios,Walt Disney Studios,82,"$513,753,018 ","$486,295,561 ",56158100,2016,4,6,Yes,https://image.tmdb.org/t/p/w500/3UVe8NL1E2ZdUZ9EDlKGJY5UzE.jpg
Harry Potter and the Sorcerer's Stone,Warner Bros. Pictures,Warner Bros. Pictures,83,"$513,616,708 ","$318,886,962 ",56143200,2001,6,6,No,https://image.tmdb.org/t/p/w500/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
West Side Story,United Artists,Amazon MGM Studios,84,"$512,423,765 ","$44,055,492 ",56012800,1961,8,6,No,https://image.tmdb.org/t/p/w500/nzCMu6D5q60i2bVrIQ0DxlRSgCZ.jpg
Close Encounters of the Third Kind,Columbia Pictures,Sony Pictures,85,"$511,600,415 ","$135,189,114 ",55922800,1977,10,6,No,https://image.tmdb.org/t/p/w500/4zfedS25uMAhgm6YQhc9bhKHbLl.jpg
Lady and the Tramp,Walt Disney Studios,Walt Disney Studios,86,"$509,881,443 ","$93,602,326 ",55734900,1955,12,6,Yes,https://image.tmdb.org/t/p/w500/r9FiDSdBwNHdRwN0NMRrqfEHJGO.jpg
Lawrence of Arabia,Columbia Pictures,Sony Pictures,87,"$507,156,155 ","$45,306,425 ",55437000,1962,14,6,No,https://image.tmdb.org/t/p/w500/AiAm0EtDvyGqNpVoieRw4u65vD1.jpg
The Rocky Horror Picture Show,20th Century Fox,Walt Disney Studios,88,"$503,793,228 ","$112,892,319 ",55069400,1975,16,6,Yes,https://image.tmdb.org/t/p/w500/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg
Rocky,United Artists,Amazon MGM Studios,89,"$503,524,267 ","$117,235,147 ",55040000,1976,18,6,No,https://image.tmdb.org/t/p/w500/cqxg1CihGR5ge0i1wYXr4Rdeppu.jpg
